Name	,	x	,	y
Farringdon	,	-0.103582415	,	51.51996102
Paddington	,	-0.173789485	,	51.51499491
Covent Garden	,	-0.122759938	,	51.51263471
Bank	,	-0.08729695	,	51.51291511
Oxford Circus	,	-0.140025246	,	51.51481046
Waterloo	,	-0.112818812	,	51.50291418
Angel	,	-0.103116359	,	51.5309796
Parsons Green	,	-0.200166803	,	51.47447238
Brixton	,	-0.113288835	,	51.46215131
Vauxhall	,	-0.122646146	,	51.48518446
Mile End	,	-0.032150165	,	51.52472507
Bethnal Green	,	-0.053074702	,	51.52672839
Finsbury Park	,	-0.105068129	,	51.56406609
Hammersmith (H&C Line)	,	-0.223334507	,	51.49327356
Camden Town	,	-0.141016888	,	51.53872412
Bermondsey	,	-0.062745893	,	51.49718984
Canary Wharf	,	-0.016134819	,	51.50291749
Denmark Hill	,	-0.088015106	,	51.46758176
Hackney Downs	,	-0.059252378	,	51.54844772
Peckham Rye	,	-0.067330906	,	51.46977879
New Cross Gate	,	-0.038716887	,	51.47449297
Shepherds Bush	,	-0.217219888	,	51.50417089
Clapham Junction	,	-0.16856542	,	51.4629141
Willesden Green	,	-0.221119357	,	51.54886838
Tooting Bec	,	-0.15763366	,	51.4353811
Wimbledon	,	-0.204921053	,	51.42091587
Honor Oak Park	,	-0.044096334	,	51.44940041
West Acton	,	-0.279364414	,	51.51747345
Stratford	,	-0.002182514	,	51.54094802
Walthamstow St James Street	,	-0.031370968	,	51.58045909
Wembley Central	,	-0.295237517	,	51.55177912
Richmond	,	-0.300084253	,	51.46260595
Crystal Palace	,	-0.071128264	,	51.41763277
